timestamp,x,y,z,label
0.6191,46,65,-234,jump
0.6753,50,66,-241,jump
0.7315,43,75,-248,jump
0.7876,68,22,-263,jump
0.8439,42,35,-253,jump
0.9013,77,-27,-218,jump
0.9585,98,-91,-180,jump
1.0178,113,-103,-184,jump
1.0775,121,-124,-188,jump
1.1356,97,-145,-172,jump
1.1949,101,-156,-158,jump
1.2545,104,-159,-154,jump
1.3137,104,-171,-145,jump
1.3734,108,-161,-147,jump
1.4315,98,-168,-140,jump
1.4909,113,-170,-149,jump
1.5493,116,-92,-158,jump
1.6087,116,-130,-183,jump
1.667,119,-36,-203,jump
1.7245,106,14,-214,jump
1.7796,127,-2,-5,jump
1.836,73,52,-222,jump
1.8925,98,49,-257,jump
1.9487,62,61,-232,jump
2.005,56,68,-231,jump
2.0615,62,82,-251,jump
2.1179,52,81,-246,jump
2.1742,38,90,-229,jump
2.2304,43,89,-235,jump
2.2869,45,89,-233,jump
2.3432,46,89,-235,jump
2.3997,53,91,-235,jump
2.4561,55,91,-228,jump
2.5125,44,87,-237,jump
2.5687,61,88,-237,jump
2.6252,56,86,-225,jump
2.6815,55,79,-228,jump
2.7378,65,82,-230,jump
2.7945,62,73,-225,jump
2.8507,64,77,-228,jump
2.9071,65,80,-229,jump
2.9634,66,81,-229,jump
0.0687,67,80,-231,jump
0.1251,70,78,-232,jump
0.1816,70,78,-231,jump
0.2379,70,79,-229,jump
0.2943,72,77,-227,jump
0.3508,74,82,-231,jump
0.4071,85,82,-271,jump
0.4634,76,43,-256,jump
0.5188,95,5,-247,jump
0.577,122,-40,-206,jump
0.6343,97,-65,-185,jump
0.6939,128,-132,-177,jump
0.7534,128,-131,-163,jump
0.8129,115,-166,-146,jump
0.8726,108,-153,-152,jump
0.932,110,-171,-142,jump
0.9915,115,-176,-142,jump
1.0511,105,-193,-125,jump
1.1106,111,-180,-133,jump
1.1701,112,-179,-125,jump
1.2298,120,-183,-126,jump
1.2891,127,-163,-135,jump
1.3489,109,-190,-122,jump
1.4082,125,-166,-161,jump
1.4668,126,-98,-185,jump
1.5263,127,-153,-150,jump
1.5849,142,-68,-199,jump
1.6432,131,-10,-182,jump
1.7018,141,-16,-245,jump
1.7591,124,27,-242,jump
1.8164,136,13,-233,jump
1.8739,106,64,-217,jump
1.9304,80,53,-231,jump
1.9869,77,79,-222,jump
2.043,58,91,-209,jump
2.1004,69,115,-241,jump
2.1579,41,113,-227,jump
2.2153,52,121,-227,jump
2.2726,69,136,-240,jump
2.33,49,129,-222,jump
2.3874,43,119,-218,jump
2.4449,40,120,-219,jump
2.5022,47,126,-222,jump
2.5599,54,126,-226,jump
2.6172,58,121,-229,jump
2.6748,57,112,-220,jump
2.732,56,108,-214,jump
2.7884,54,91,-215,jump
2.8459,69,104,-219,jump
2.9032,64,102,-221,jump
2.9609,61,102,-219,jump
0.031,70,102,-224,jump
0.0884,71,101,-221,jump
0.1459,69,101,-224,jump
0.2033,71,101,-225,jump
0.2608,70,102,-222,jump
0.3182,71,101,-223,jump
0.3757,73,109,-226,jump
0.4321,81,88,-243,jump
0.4884,80,59,-239,jump
0.5459,119,38,-237,jump
0.6023,127,2,-227,jump
0.6609,129,-23,-223,jump
0.7192,125,-61,-195,jump
0.7778,123,-93,-179,jump
0.8372,134,-113,-170,jump
0.8968,129,-141,-143,jump
0.9563,131,-166,-134,jump
1.0158,135,-163,-138,jump
1.0752,127,-175,-113,jump
1.1348,123,-179,-117,jump
1.194,124,-190,-116,jump
1.2523,121,-206,-90,jump
1.3107,126,-199,-83,jump
1.369,125,-188,-76,jump
1.4273,127,-209,-82,jump
1.4858,126,-195,-92,jump
1.5439,117,-190,-82,jump
1.6034,135,-172,-113,jump
1.6628,141,-161,-131,jump
1.7222,130,-183,-119,jump
1.7817,149,-141,-153,jump
1.8399,141,-93,-165,jump
1.8992,159,-142,-173,jump
1.9577,166,-51,-205,jump
2.0159,144,-99,-181,jump
2.0743,164,-43,-208,jump
2.1326,127,-39,-191,jump
2.191,155,-42,-218,jump
2.2497,111,-29,-191,jump
2.3058,135,0,-215,jump
2.362,96,29,-243,jump
2.4193,131,18,-243,jump
2.4757,90,47,-208,jump
2.5318,93,64,-219,jump
2.588,75,76,-237,jump
2.6444,80,95,-249,jump
2.7008,88,94,-242,jump
2.7569,71,85,-220,jump
2.8132,76,86,-212,jump
2.8693,73,88,-223,jump
2.9258,78,97,-239,jump
2.982,73,87,-229,jump
0.0455,77,42,-238,jump
0.1017,76,41,-238,jump
0.1582,76,44,-237,jump
0.2147,76,43,-238,jump
0.2708,75,44,-240,jump
0.3272,73,45,-240,jump
0.3836,79,38,-255,jump
0.44,73,33,-251,jump
0.4964,75,10,-247,jump
0.5538,82,-20,-228,jump
